Fund Holdings as of,"28/Jul/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"BKNG","BOOKING HOLDINGS INC","Equity","0.17","2,226.33","1,201.00","2,673,822.33","2,673,822.33","Consumer Discretionary","US09857L1089","NASDAQ","United States","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.17","148.71","17,933.00","2,666,816.43","2,666,816.43","Information Technology","US31620M1062","New York Stock Exchange Inc.","United States","USD"
"SU","SCHNEIDER ELECTRIC","Equity","0.16","164.08","16,062.00","2,635,514.75","2,635,514.75","Industrials","FR0000121972","Nyse Euronext - Euronext Paris","France","EUR"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.16","63.40","40,896.00","2,592,806.40","2,592,806.40","Consumer Staples","US6092071058","NASDAQ","United States","USD"
"SYK","STRYKER CORP","Equity","0.16","268.68","9,636.00","2,589,000.48","2,589,000.48","Health Care","US8636671013","New York Stock Exchange Inc.","United States","USD"
"LRCX","LAM RESEARCH CORP","Equity","0.16","635.00","4,077.00","2,588,895.00","2,588,895.00","Information Technology","US5128071082","NASDAQ","United States","USD"
"TMUS","T MOBILE US INC","Equity","0.16","145.12","17,607.00","2,555,127.84","2,555,127.84","Communication","US8725901040","NASDAQ","United States","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.16","206.88","12,307.00","2,546,072.16","2,546,072.16","Information Technology","US0530151036","NASDAQ","United States","USD"
"GILD","GILEAD SCIENCES INC","Equity","0.16","70.06","36,053.00","2,525,873.18","2,525,873.18","Health Care","US3755581036","NASDAQ","United States","USD"
"BP.","BP PLC","Equity","0.15","4.05","587,707.00","2,378,435.07","2,378,435.07","Energy","GB0007980591","London Stock Exchange","United Kingdom","GBP"
"MU","MICRON TECHNOLOGY INC","Equity","0.15","75.55","31,429.00","2,374,460.95","2,374,460.95","Information Technology","US5951121038","NASDAQ","United States","USD"
"TJX","TJX INC","Equity","0.15","67.88","34,906.00","2,369,419.28","2,369,419.28","Consumer Discretionary","US8725401090","New York Stock Exchange Inc.","United States","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Equity","0.15","176.64","13,400.00","2,366,956.10","2,366,956.10","Materials","FR0000120073","Nyse Euronext - Euronext Paris","France","EUR"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.15","192.93","12,118.00","2,337,925.74","2,337,925.74","Real Estate","US22822V1017","New York Stock Exchange Inc.","United States","USD"
"CI","CIGNA CORP","Equity","0.14","227.25","10,087.00","2,292,270.75","2,292,270.75","Health Care","US1255231003","New York Stock Exchange Inc.","United States","USD"
"ENB","ENBRIDGE INC","Equity","0.14","39.20","58,262.00","2,284,157.60","2,284,157.60","Energy","CA29250N1050","Toronto Stock Exchange","Canada","CAD"
"BX","BLACKSTONE GROUP INC","Equity","0.14","114.36","19,847.00","2,269,702.92","2,269,702.92","Financials","US09260D1072","New York Stock Exchange Inc.","United States","USD"
"9984","SOFTBANK GROUP CORP","Equity","0.14","61.26","36,700.00","2,248,129.14","2,248,129.14","Communication","JP3436100006","Tokyo Stock Exchange","Japan","JPY"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.14","183.76","12,082.00","2,220,188.32","2,220,188.32","Financials","US6934751057","New York Stock Exchange Inc.","United States","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.14","161.39","13,629.00","2,199,584.31","2,199,584.31","Financials","US14040H1059","New York Stock Exchange Inc.","United States","USD"
"COP","CONOCOPHILLIPS","Equity","0.14","56.72","38,710.00","2,195,631.20","2,195,631.20","Energy","US20825C1045","New York Stock Exchange Inc.","United States","USD"
"USB","US BANCORP","Equity","0.14","56.04","39,170.00","2,195,086.80","2,195,086.80","Financials","US9029733048","New York Stock Exchange Inc.","United States","USD"
"CME","CME GROUP INC CLASS A","Equity","0.14","213.43","10,253.00","2,188,297.79","2,188,297.79","Financials","US12572Q1058","NASDAQ","United States","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Equity","0.14","106.00","20,582.00","2,181,667.45","2,181,667.45","Industrials","CA1363751027","Toronto Stock Exchange","Canada","CAD"
"BNS","BANK OF NOVA SCOTIA","Equity","0.14","62.17","35,027.00","2,177,786.84","2,177,786.84","Financials","CA0641491075","Toronto Stock Exchange","Canada","CAD"
"ENEL","ENEL","Equity","0.13","9.50","228,052.00","2,167,519.61","2,167,519.61","Utilities","IT0003128367","Borsa Italiana","Italy","EUR"
"DAI","DAIMLER AG","Equity","0.13","87.39","24,616.00","2,151,120.78","2,151,120.78","Consumer Discretionary","DE0007100000","Xetra","Germany","EUR"
"CB","CHUBB LTD","Equity","0.13","166.02","12,865.00","2,135,847.30","2,135,847.30","Financials","CH0044328745","New York Stock Exchange Inc.","United States","USD"
"ILMN","ILLUMINA INC","Equity","0.13","492.22","4,329.00","2,130,820.38","2,130,820.38","Health Care","US4523271090","NASDAQ","United States","USD"
"BAS","BASF N","Equity","0.13","78.36","27,054.00","2,119,964.41","2,119,964.41","Materials","DE000BASF111","Xetra","Germany","EUR"
"TFC","TRUIST FINANCIAL CORP","Equity","0.13","55.08","38,442.00","2,117,385.36","2,117,385.36","Financials","US89832Q1094","New York Stock Exchange Inc.","United States","USD"
"GM","GENERAL MOTORS","Equity","0.13","55.49","37,789.00","2,096,911.61","2,096,911.61","Consumer Discretionary","US37045V1008","New York Stock Exchange Inc.","United States","USD"
"MELI","MERCADOLIBRE INC","Equity","0.13","1,637.03","1,278.00","2,092,124.34","2,092,124.34","Consumer Discretionary","US58733R1023","NASDAQ","United States","USD"
"6098","RECRUIT HOLDINGS LTD","Equity","0.13","51.18","40,700.00","2,082,867.13","2,082,867.13","Industrials","JP3970300004","Tokyo Stock Exchange","Japan","JPY"
"BDX","BECTON DICKINSON","Equity","0.13","253.48","8,185.00","2,074,733.80","2,074,733.80","Health Care","US0758871091","New York Stock Exchange Inc.","United States","USD"
"CSX","CSX CORP","Equity","0.13","31.91","64,849.00","2,069,331.59","2,069,331.59","Industrials","US1264081035","NASDAQ","United States","USD"
"EQIX","EQUINIX REIT INC","Equity","0.13","836.31","2,468.00","2,064,013.08","2,064,013.08","Real Estate","US29444U7000","NASDAQ","United States","USD"
