Series Name,"Time","Australia","United States","United Kingdom","Italy","Spain","France","Portugal","Japan","Germany"
Consumer price index (2010 = 100),"1996","69.4068678459938","71.9312285175105","76.0403181061587","74.4201291680352","69.093335943493","81.0448890531243","71.0757873281798","101.260467927135","81.6484711875156"
Consumer price index (2010 = 100),"1997","69.5629552549428","73.6127576083459","77.7140743480673","75.9406126299779","70.4552201126384","82.0206232733288","72.7367310922281","103.030303030303","83.2319366733174"
Consumer price index (2010 = 100),"1998","70.1612903225807","74.7554330587091","79.1289069724431","77.4253165947392","71.747600808559","82.5546815886255","74.6080669845925","103.71233704567","83.9903338462181"
Consumer price index (2010 = 100),"1999","71.2018730489074","76.391102265249","80.5159977806547","78.7132557275131","73.4052193154177","82.998117158493","76.3539665574166","103.358370025037","84.4820410982636"
Consumer price index (2010 = 100),"2000","74.3756503642039","78.9707207568716","81.4684668022933","80.7107504637521","75.9255998200053","84.3891323092084","78.5323684294627","102.659069325736","85.6988090597341"
Consumer price index (2010 = 100),"2001","77.6534859521332","81.2025684592531","82.7168485296837","82.9586783816502","78.651203537534","85.768709637685","81.9641569933633","101.899335232669","87.3989508274879"
Consumer price index (2010 = 100),"2002","79.9687825182102","82.4904668765521","83.9744775291289","85.0038779193305","81.0624649001437","87.4183955374897","84.9151507188842","100.958300958301","88.6407200197208"
Consumer price index (2010 = 100),"2003","82.1540062434963","84.3630788186188","85.1303865359719","87.2756537574471","83.5261426387297","89.2528462580725","87.6485616990452","100.699300699301","89.5574669577133"
Consumer price index (2010 = 100),"2004","84.0790842872008","86.6216781201728","86.3140373589791","89.201597564227","86.064670544112","91.1647222368861","89.7217675069332","100.690667357334","91.0492556053748"
Consumer price index (2010 = 100),"2005","86.3423517169615","89.5605323721102","88.1172554096542","90.9725106234272","88.9637193712232","92.7563391930177","91.7648792508975","100.405767072434","92.4577053280355"
Consumer price index (2010 = 100),"2006","89.4120707596254","92.4497050827274","90.2811170704642","92.8746038216872","92.0911276421223","94.3101233525137","94.6166247066051","100.656133989467","93.9161592991721"
Consumer price index (2010 = 100),"2007","91.4932362122789","95.0869923788515","92.4357314592195","94.5739686397295","94.6577354325631","95.7134561579475","96.9384838273258","100.716567383234","96.0746736424467"
Consumer price index (2010 = 100),"2008","95.4734651404787","98.7374773853446","95.6907712224894","97.740146777842","98.5156636153782","98.4057435464288","99.4477428564327","102.106535439869","98.5998828296261"
Consumer price index (2010 = 100),"2009","97.1644120707596","98.3864199710624","97.5679674496024","98.497406286648","98.2319416221847","98.4919671294586","98.6168271091589","100.725200725201","98.9082417662438"
Consumer price index (2010 = 100),"2010","100","100","100","100","100","100","100","100","100"
Consumer price index (2010 = 100),"2011","103.303850156087","103.156841568622","103.856112446828","102.780632728793","103.196146412241","102.11159795175","103.653011004307","99.7323663990331","102.075174524798"
Consumer price index (2010 = 100),"2012","105.124869927159","105.291504532867","106.528574070649","105.90656520528","105.720324344817","104.107058016154","106.527659906895","99.680566347233","104.125345138408"
Consumer price index (2010 = 100),"2013","107.700312174818","106.833848874866","108.969853893102","107.198618335037","107.209444053708","105.006246810607","106.819989560289","100.0259000259","105.692141052259"
Consumer price index (2010 = 100),"2014","110.379812695109","108.566932118964","110.551137414463","107.457017849343","107.047696829365","105.539425293424","106.522866162199","102.788569455236","106.650555219063"
Consumer price index (2010 = 100),"2015","112.044745057232","108.695721960693","110.958017384871","107.498700856028","106.511964511277","105.579017755019","107.042632369495","103.600103600104","107.199187580619"
Consumer price index (2010 = 100),"2016","113.475546305931","110.06700893427","112.076937303495","107.397634171255","106.296094858635","105.772580900597","107.692806187126","103.47923681257","107.726338111313"
Consumer price index (2010 = 100),"2017","115.686784599376","112.411557302308","114.943591640466","108.714901774357","108.375335054149","106.864453008147","109.166705134988","103.962703962704","109.35246347718"
Consumer price index (2010 = 100),"2018","117.89802289282","115.157303224791","117.579064176068","109.951520340534","110.190695194176","108.842316422953","110.25151180504","104.981438314772","111.246631485772"
Consumer price index (2010 = 100),"2019","119.797086368366","117.244195476228","119.622711300166","110.623595648239","110.96151904206","110.04856675289","110.624358614714","105.482172148839","112.854887342124"
Consumer price index (2010 = 100),"2020","120.811654526535","118.690501577198","120.806362123174","110.471258578492","110.603478362544","110.572946910908","110.610598791976","105.464905464905","113.426711646605"
,"","","","","","","","","",""
,"","","","","","","","","",""
,"","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","",""
Last Updated: 07/21/2021,"","","","","","","","","",""
