As Of,Currency,NAV,Securities In Issue,Net Assets,Fund Return Series,Benchmark Return Series
04/Feb/2020,USD,5.74,24 055 691.00,138 091 517.02,118.89,118.94
03/Feb/2020,USD,5.66,11 943 382.00,67 615 756.44,117.25,117.30
31/Jan/2020,USD,5.64,11 943 382.00,67 312 764.49,116.72,116.77
30/Jan/2020,USD,5.71,11 943 382.00,68 172 995.99,118.21,118.26
29/Jan/2020,USD,5.71,12 045 480.00,68 778 682.97,118.25,118.30
28/Jan/2020,USD,5.71,12 045 480.00,68 760 241.75,118.22,118.27
27/Jan/2020,USD,5.67,11 892 333.00,67 399 163.95,117.37,117.42
24/Jan/2020,USD,5.76,11 892 333.00,68 540 028.89,119.36,119.41
23/Jan/2020,USD,5.79,10 892 333.00,63 086 703.51,119.95,120.00
22/Jan/2020,USD,5.80,10 502 333.00,60 929 975.53,120.15,120.20
21/Jan/2020,USD,5.80,10 402 333.00,60 310 119.40,120.07,120.12
20/Jan/2020,USD,5.81,10 402 333.00,60 451 157.99,120.35,120.40
17/Jan/2020,USD,5.81,10 402 333.00,60 461 430.92,120.37,120.41
16/Jan/2020,USD,5.79,10 402 333.00,60 220 871.29,119.89,119.93
15/Jan/2020,USD,5.75,10 402 333.00,59 854 157.42,119.16,119.20
14/Jan/2020,USD,5.75,9 968 134.00,57 283 375.22,119.01,119.05
13/Jan/2020,USD,5.75,9 968 134.00,57 283 296.60,119.01,119.05
10/Jan/2020,USD,5.72,9 968 134.00,57 019 783.68,118.47,118.50
09/Jan/2020,USD,5.73,9 968 134.00,57 075 088.00,118.58,118.61
08/Jan/2020,USD,5.69,10 049 814.00,57 214 514.00,117.90,117.94
07/Jan/2020,USD,5.68,10 049 814.00,57 091 402.45,117.65,117.68
06/Jan/2020,USD,5.69,10 049 814.00,57 139 576.45,117.75,117.78
03/Jan/2020,USD,5.68,10 049 814.00,57 109 566.45,117.69,117.72
02/Jan/2020,USD,5.72,10 049 814.00,57 450 523.70,118.39,118.42
31/Dec/2019,USD,5.67,10 049 814.00,57 007 611.82,117.48,117.51
30/Dec/2019,USD,5.66,10 049 814.00,56 875 839.68,117.21,117.23
27/Dec/2019,USD,5.69,10 049 814.00,57 154 071.38,117.78,117.81
24/Dec/2019,USD,5.65,10 049 814.00,56 821 606.50,117.10,117.12
23/Dec/2019,USD,5.65,10 049 814.00,56 790 768.07,117.03,117.06
20/Dec/2019,USD,5.65,10 511 358.00,59 383 989.49,117.00,117.03
19/Dec/2019,USD,5.63,10 511 358.00,59 135 363.61,116.51,116.54
18/Dec/2019,USD,5.61,10 511 358.00,58 945 655.04,116.14,116.16
17/Dec/2019,USD,5.62,9 511 358.00,53 414 307.70,116.31,116.32
16/Dec/2019,USD,5.62,9 156 358.00,51 444 361.95,116.36,116.38
13/Dec/2019,USD,5.58,9 156 358.00,51 049 553.34,115.47,115.48
12/Dec/2019,USD,5.55,9 156 358.00,50 820 896.92,--,--
11/Dec/2019,USD,5.56,9 705 485.00,53 917 827.00,114.18,114.20
10/Dec/2019,USD,5.54,9 705 485.00,53 800 432.10,113.93,113.96
09/Dec/2019,USD,5.55,9 705 485.00,53 866 798.89,114.07,114.10
06/Dec/2019,USD,5.56,9 705 485.00,53 955 978.23,114.26,114.29
05/Dec/2019,USD,5.52,9 705 485.00,53 535 895.19,--,--
04/Dec/2019,USD,5.51,9 705 485.00,53 451 363.68,113.19,113.22
03/Dec/2019,USD,5.48,9 857 462.00,53 986 615.68,112.56,112.59
02/Dec/2019,USD,5.51,9 857 462.00,54 301 083.45,113.21,113.25
29/Nov/2019,USD,5.55,9 857 462.00,54 668 373.21,113.98,114.01
28/Nov/2019,USD,5.57,9 857 462.00,54 888 134.63,114.44,114.47
27/Nov/2019,USD,5.57,9 857 462.00,54 906 786.00,114.48,114.52
26/Nov/2019,USD,5.55,9 857 462.00,54 710 640.89,114.07,114.10
25/Nov/2019,USD,5.54,9 857 462.00,54 606 214.22,113.85,113.88
22/Nov/2019,USD,5.50,9 857 462.00,54 187 229.26,--,--
21/Nov/2019,USD,5.49,9 857 462.00,54 098 771.89,112.79,112.83
20/Nov/2019,USD,5.50,9 857 462.00,54 205 199.76,113.01,113.05
19/Nov/2019,USD,5.52,9 857 462.00,54 448 760.45,113.52,113.55
18/Nov/2019,USD,5.52,9 857 462.00,54 456 462.31,113.54,113.56
15/Nov/2019,USD,5.52,9 857 462.00,54 379 082.85,113.38,113.41
14/Nov/2019,USD,5.47,9 857 462.00,53 953 526.06,112.49,112.52
13/Nov/2019,USD,5.48,9 857 462.00,54 012 028.74,112.61,112.64
12/Nov/2019,USD,5.48,9 857 462.00,54 058 742.50,112.71,112.74
11/Nov/2019,USD,5.48,9 857 462.00,53 972 791.43,112.53,112.56
08/Nov/2019,USD,5.48,9 857 462.00,54 038 446.01,112.67,112.70
07/Nov/2019,USD,5.48,9 857 462.00,53 971 376.00,112.53,112.55
06/Nov/2019,USD,5.46,9 882 792.00,53 949 591.59,112.19,112.22
05/Nov/2019,USD,5.46,9 029 496.00,49 255 998.51,112.11,112.14
04/Nov/2019,USD,5.46,9 090 287.00,49 637 577.70,112.22,112.25
01/Nov/2019,USD,5.44,9 090 287.00,49 435 885.49,111.77,111.79
31/Oct/2019,USD,5.39,9 090 287.00,49 025 675.47,110.84,110.87
30/Oct/2019,USD,5.40,9 090 287.00,49 087 684.14,110.98,111.01
29/Oct/2019,USD,5.39,9 090 287.00,48 977 364.65,110.73,110.77
28/Oct/2019,USD,5.39,9 090 287.00,48 965 290.94,110.71,110.74
25/Oct/2019,USD,5.36,9 090 287.00,48 756 660.53,110.23,110.27
24/Oct/2019,USD,5.34,9 090 287.00,48 578 130.46,109.83,109.86
23/Oct/2019,USD,5.33,9 090 287.00,48 425 731.01,109.49,109.52
22/Oct/2019,USD,5.32,9 090 287.00,48 333 649.72,109.28,109.31
21/Oct/2019,USD,5.33,9 090 287.00,48 468 106.84,109.58,109.61
18/Oct/2019,USD,5.30,9 090 287.00,48 152 245.52,108.87,108.90
17/Oct/2019,USD,5.31,9 090 287.00,48 282 720.44,109.16,109.19
16/Oct/2019,USD,5.30,9 140 947.00,48 402 534.17,108.83,108.86
15/Oct/2019,USD,5.30,9 140 947.00,48 435 393.42,108.90,108.93
14/Oct/2019,USD,5.24,9 140 947.00,47 935 917.71,107.78,107.81
11/Oct/2019,USD,5.25,9 140 947.00,48 018 016.92,107.96,107.99
10/Oct/2019,USD,5.18,9 140 947.00,47 359 370.59,106.48,106.51
09/Oct/2019,USD,5.15,9 211 871.00,47 436 287.80,105.83,105.87
08/Oct/2019,USD,5.11,9 211 871.00,47 117 092.58,105.12,105.16
07/Oct/2019,USD,5.18,8 211 871.00,42 559 707.02,106.52,106.55
04/Oct/2019,USD,5.19,8 211 871.00,42 608 239.42,106.64,106.67
03/Oct/2019,USD,5.13,8 211 871.00,42 160 490.91,105.52,105.55
02/Oct/2019,USD,5.11,8 211 871.00,41 950 021.92,104.99,105.02
01/Oct/2019,USD,5.20,8 246 871.00,42 859 761.82,106.81,106.84
30/Sep/2019,USD,5.25,8 246 871.00,43 292 243.27,107.89,107.92
27/Sep/2019,USD,5.24,8 246 871.00,43 192 512.06,107.64,107.67
26/Sep/2019,USD,5.25,8 246 871.00,43 317 946.94,107.95,107.98
25/Sep/2019,USD,5.26,8 246 871.00,43 341 999.96,108.01,108.04
24/Sep/2019,USD,5.25,8 281 871.00,43 477 633.76,107.89,107.92
23/Sep/2019,USD,5.28,8 281 871.00,43 725 887.86,108.51,108.54
20/Sep/2019,USD,5.29,8 383 191.00,44 335 130.41,108.69,108.72
19/Sep/2019,USD,5.31,8 717 538.00,46 254 664.47,109.05,109.08
18/Sep/2019,USD,5.30,8 717 538.00,46 173 911.89,108.86,108.89
17/Sep/2019,USD,5.30,8 717 538.00,46 192 566.74,108.90,108.93
16/Sep/2019,USD,5.29,8 717 538.00,46 073 405.41,108.62,108.65
13/Sep/2019,USD,5.31,8 717 538.00,46 292 777.29,109.14,109.16
12/Sep/2019,USD,5.30,8 717 538.00,46 194 086.64,108.91,108.94
11/Sep/2019,USD,5.28,8 717 538.00,46 027 385.01,108.51,108.55
10/Sep/2019,USD,5.24,8 717 538.00,45 717 486.25,107.78,107.81
09/Sep/2019,USD,5.24,8 717 538.00,45 711 096.43,107.77,107.80
06/Sep/2019,USD,5.24,7 717 538.00,40 467 664.93,107.77,107.80
05/Sep/2019,USD,5.23,7 717 538.00,40 376 007.08,107.52,107.56
04/Sep/2019,USD,5.17,6 717 538.00,34 715 903.76,106.21,106.25
03/Sep/2019,USD,5.11,6 717 538.00,34 343 355.42,105.07,105.11
02/Sep/2019,USD,5.14,6 717 538.00,34 506 132.01,105.57,105.62
30/Aug/2019,USD,5.14,6 717 538.00,34 535 656.32,105.66,105.71
29/Aug/2019,USD,5.13,6 717 538.00,34 442 190.35,105.37,105.42
28/Aug/2019,USD,5.07,6 717 538.00,34 090 358.97,104.30,104.35
27/Aug/2019,USD,5.06,6 717 538.00,33 979 626.48,103.96,104.01
23/Aug/2019,USD,5.03,6 717 538.00,33 792 618.78,103.39,103.44
